Date,Type,Price
05-01-2018,Valley,21.107999801635746
09-01-2018,Peak,22.246000289916992
10-01-2018,Valley,22.14666748046875
23-01-2018,Peak,23.519332885742188
26-01-2018,Valley,22.76666641235352
01-02-2018,Peak,23.28333282470703
06-02-2018,Valley,21.680667877197266
07-02-2018,Peak,23.0
09-02-2018,Valley,21.32866668701172
20-02-2018,Peak,22.31800079345703
21-02-2018,Valley,22.402000427246094
26-02-2018,Peak,23.827999114990234
02-03-2018,Valley,21.798667907714844
05-03-2018,Peak,22.22333335876465
07-03-2018,Valley,21.69599914550781
08-03-2018,Peak,21.940000534057617
09-03-2018,Valley,21.606666564941406
13-03-2018,Peak,22.78933334350586
20-03-2018,Valley,20.9913330078125
21-03-2018,Peak,21.101999282836918
02-04-2018,Valley,17.083999633789062
06-04-2018,Peak,19.953332901000977
09-04-2018,Valley,20.024667739868164
11-04-2018,Peak,20.062000274658203
17-04-2018,Valley,19.257999420166016
19-04-2018,Peak,20.005332946777344
25-04-2018,Valley,18.899999618530277
02-05-2018,Peak,20.07666778564453
04-05-2018,Valley,18.86666679382324
10-05-2018,Peak,20.334667205810547
16-05-2018,Valley,18.92200088500977
17-05-2018,Peak,18.96933364868164
23-05-2018,Valley,18.517332077026367
24-05-2018,Peak,18.523332595825195
25-05-2018,Valley,18.5086669921875
04-06-2018,Peak,19.78266716003418
05-06-2018,Valley,19.84666633605957
07-06-2018,Peak,21.07266616821289
08-06-2018,Valley,21.26666641235352
18-06-2018,Peak,24.722000122070312
25-06-2018,Valley,22.007999420166016
28-06-2018,Peak,23.32866668701172
06-07-2018,Valley,20.32999992370605
11-07-2018,Peak,21.263999938964844
16-07-2018,Valley,20.78066635131836
18-07-2018,Peak,21.59000015258789
24-07-2018,Valley,20.294666290283203
26-07-2018,Peak,20.44333267211914
30-07-2018,Valley,19.726667404174805
03-08-2018,Peak,23.211332321166992
06-08-2018,Valley,23.03066635131836
08-08-2018,Peak,24.689332962036133
10-08-2018,Valley,23.600000381469727
13-08-2018,Peak,23.76066780090332
20-08-2018,Valley,19.446666717529297
22-08-2018,Peak,21.44266700744629
23-08-2018,Valley,21.275999069213867
24-08-2018,Peak,21.521333694458008
07-09-2018,Valley,17.34000015258789
17-09-2018,Peak,19.6560001373291
18-09-2018,Valley,19.779333114624023
27-09-2018,Peak,20.501333236694336
28-09-2018,Valley,18.017332077026367
02-10-2018,Peak,20.06800079345703
08-10-2018,Valley,17.634666442871094
10-10-2018,Peak,17.125333786010742
11-10-2018,Valley,17.16866683959961
17-10-2018,Peak,18.118667602539062
22-10-2018,Valley,17.3786678314209
29-10-2018,Peak,22.32333374023437
30-10-2018,Valley,21.892667770385746
02-11-2018,Peak,23.0939998626709
